City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
528,San Ramon De La Nueva Oran,AR,87.01,-23.1322,-64.32600000000001,Hotel Residencial Centro
529,Caninde De Sao Francisco,BR,89.6,-9.66,-37.7894,Xingo Parque Hotel
530,Acajutla,SV,89.6,13.5928,-89.8275,asi es
532,Puerto Colombia,CO,84.2,10.9878,-74.9547,Hotel El Emigrante
535,Garissa,KE,81.46,-0.4536,39.6401,Sharif Plaza Hotel
536,Jibuti,DJ,75.2,11.5,42.5,Orchid Main Camp Goubet
538,Sorong,ID,80.87,-0.8833,131.25,The Waigo Hotel
539,Merauke,ID,78.93,-8.4667,140.3333,
546,Sibolga,ID,76.33,1.7427,98.7792,Hotel Syariah CN Darussalam
548,San Cristobal,VE,84.2,7.7669,-72.225,Pirineos
549,Takoradi,GH,79.25,4.8845,-1.7554,Raybow International Hotel
551,Bowen,AU,71.6,-20.0167,148.2333,Castle Motor Lodge Motel
557,Chunhuhub,MX,84.16,19.55,-88.6833,
560,Eyl,SO,71.92,7.9803,49.8164,Amiin Hotel
561,Bertoua,CM,72.36,4.5833,13.6833,Hotel De Paris
564,Chulucanas,PE,88.14,-5.0925,-80.1625,"Servicio Turístico Hotelero ""El Diamante"""
567,Makokou,GA,72.03,0.5738,12.8642,WAMY RESIDENCE HOTEL
571,Harper,LR,78.66,4.375,-7.7169,Screensaver
572,Sapouy,BF,74.35,11.5544,-1.7736,Auberge St Louis
574,Broken Hill,AU,86.0,-31.95,141.4333,Royal Exchange Hotel
576,Meteti,PA,85.15,8.4983,-77.9786,Txai Mauá
578,Bauta,CU,80.6,22.9828,-82.5464,El Refugio
580,Taoudenni,ML,71.13,22.6783,-3.9836,
581,Voh,NC,79.14,-20.9667,164.7,Le gîte du Koniambo
585,Uberaba,BR,82.4,-19.7483,-47.9319,Tamareiras Park Hotel
586,Port Keats,AU,77.92,-14.25,129.55,TDC Village (Hundred Man Camp)
587,Soyo,AO,79.41,-6.1349,12.3689,Hotel Mpampa
588,Les Cayes,HT,79.92,18.2,-73.75,Villa Orphee
589,Gorontalo,ID,74.44,0.5412,123.0595,Maqna Hotel by Prasanthi
591,Kualakapuas,ID,75.2,-3.0091,114.3876,Guest House Izonk
593,Lakatoro,VU,78.26,-16.0999,167.4164,Lakatoro Palm Lodge
595,Kavaratti,IN,81.12,10.5669,72.642,Hotels in Lakshadweep Islands
596,Porto Novo,BJ,82.4,6.4965,2.6036,Tour Eiffel Hotel Benin
602,Katobu,ID,75.58,-4.9408,122.5276,La Ode Husein
603,Tabou,CI,78.57,4.423,-7.3528,hotêl doufoulougou
604,Talcahuano,CL,73.4,-36.7167,-73.1167,Hotel Terramar
606,Biloela,AU,73.24,-24.4167,150.5,Silo Motor Inn
610,Rio Grande,BR,82.4,-32.035,-52.0986,Hotel Atlântico Rio Grande
611,Ranong,TH,74.5,9.9658,98.6348,Tinidee Hotel@Ranong
612,Ascension,US,75.99,30.2169,-90.9001,Highland Inn
614,Bairiki,KI,80.6,1.3292,172.9752,Tarawa Boutique Hotel
615,Urucui,BR,80.35,-7.2294,-44.5561,Hotel Premium Piauí
618,Diamantino,BR,83.79,-14.4086,-56.4461,Hotel Delta
620,Puerto Suarez,BO,89.6,-18.95,-57.8,Hotel casa real
621,Weligama,LK,72.48,5.9667,80.4167,Weligama Bay Resort
626,San Isidro,PE,78.8,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
627,Amahai,ID,82.99,-3.3333,128.9167,HOTEL ISABELA
629,Sokolo,ML,72.19,14.7328,-6.1219,
630,Macas,EC,75.2,-2.3167,-78.1167,Casa Upano - Guesthouse & Sanctuary
633,Kirakira,SB,82.18,-10.4544,161.9205,SanBiz Lodge
635,Macia,MZ,74.21,-25.0269,33.0989,Tuck shop my life dcoza
636,Anloga,GH,82.4,5.7947,0.8973,Pin Drop Hotel
637,Mlonggo,ID,75.87,-6.5333,110.7,Asia Metal Art
641,Ulladulla,AU,78.01,-35.35,150.4667,Sandpiper Motel
644,Makakilo City,US,80.6,21.3469,-158.0858,Marriott's Ko Olina Beach Club
650,Ambon,ID,78.8,-3.6954,128.1814,Swiss-Belhotel Ambon
651,Salalah,OM,71.6,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
657,Fare,PF,81.55,-16.7,-151.0167,Maitai Lapita Village Huahine
659,Kariba,ZW,70.38,-16.5167,28.8,Caribbea Bay Hotel
660,Gogrial,SS,76.24,8.5332,28.1004,
662,Poum,NC,80.13,-20.2333,164.0167,Gîte kajeon
664,Pimenta Bueno,BR,75.56,-11.6725,-61.1936,Cristalina Palace Hotel
665,Richards Bay,ZA,72.9,-28.783,32.0377,BON Hotel Waterfront Richards Bay
667,Vetapalem,IN,73.4,15.7833,80.3167,Dasul Urdu Hostel
669,Maracaju,BR,76.96,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
